disease,disease_class,detector,sustained_alerts_total,sustained_alerts_outside_window,n_years_covered,alerts_per_year
RSウイルス感染症,sentinel/その他,D_rare,0,0,13,0.0
RSウイルス感染症,sentinel/その他,D_stat,15,15,13,1.154
RSウイルス感染症,sentinel/その他,D_growth,6,6,13,0.462
RSウイルス感染症,sentinel/その他,D_spatial,13,12,13,0.923
RSウイルス感染症,sentinel/その他,combined,16,15,13,1.154
つつが虫病,全数把握,D_rare,42,42,13,3.231
つつが虫病,全数把握,D_stat,2,2,13,0.154
つつが虫病,全数把握,D_growth,6,6,13,0.462
つつが虫病,全数把握,D_spatial,0,0,13,0.0
つつが虫病,全数把握,combined,50,50,13,3.846
アメーバ赤痢,全数把握,D_rare,0,0,13,0.0
アメーバ赤痢,全数把握,D_stat,0,0,13,0.0
アメーバ赤痢,全数把握,D_growth,0,0,13,0.0
アメーバ赤痢,全数把握,D_spatial,0,0,13,0.0
アメーバ赤痢,全数把握,combined,0,0,13,0.0
インフルエンザ,sentinel/その他,D_rare,0,0,13,0.0
インフルエンザ,sentinel/その他,D_stat,5,5,13,0.385
インフルエンザ,sentinel/その他,D_growth,13,12,13,0.923
インフルエンザ,sentinel/その他,D_spatial,10,9,13,0.692
インフルエンザ,sentinel/その他,combined,17,15,13,1.154
インフルエンザ(入院患者),sentinel/その他,D_rare,0,0,9,0.0
インフルエンザ(入院患者),sentinel/その他,D_stat,0,0,9,0.0
インフルエンザ(入院患者),sentinel/その他,D_growth,5,5,9,0.556
インフルエンザ(入院患者),sentinel/その他,D_spatial,0,0,9,0.0
インフルエンザ(入院患者),sentinel/その他,combined,5,5,9,0.556
ウイルス性肝炎,全数把握,D_rare,41,41,13,3.154
ウイルス性肝炎,全数把握,D_stat,0,0,13,0.0
ウイルス性肝炎,全数把握,D_growth,0,0,13,0.0
ウイルス性肝炎,全数把握,D_spatial,0,0,13,0.0
ウイルス性肝炎,全数把握,combined,41,41,13,3.154
ウエストナイル熱,全数把握,D_rare,0,0,13,0.0
ウエストナイル熱,全数把握,D_stat,0,0,13,0.0
ウエストナイル熱,全数把握,D_growth,0,0,13,0.0
ウエストナイル熱,全数把握,D_spatial,0,0,13,0.0
ウエストナイル熱,全数把握,combined,0,0,13,0.0
ウエストナイル熱鳥類,sentinel/その他,D_rare,0,0,2,0.0
ウエストナイル熱鳥類,sentinel/その他,D_stat,0,0,2,0.0
ウエストナイル熱鳥類,sentinel/その他,D_growth,0,0,2,0.0
ウエストナイル熱鳥類,sentinel/その他,D_spatial,0,0,2,0.0
ウエストナイル熱鳥類,sentinel/その他,combined,0,0,2,0.0
エキノコックス症,全数把握,D_rare,2,2,13,0.154
エキノコックス症,全数把握,D_stat,0,0,13,0.0
エキノコックス症,全数把握,D_growth,0,0,13,0.0
エキノコックス症,全数把握,D_spatial,0,0,13,0.0
エキノコックス症,全数把握,combined,2,2,13,0.154
エボラ出血熱,全数把握,D_rare,0,0,13,0.0
エボラ出血熱,全数把握,D_stat,0,0,13,0.0
エボラ出血熱,全数把握,D_growth,0,0,13,0.0
エボラ出血熱,全数把握,D_spatial,0,0,13,0.0
エボラ出血熱,全数把握,combined,0,0,13,0.0
オウム病,全数把握,D_rare,2,2,13,0.154
オウム病,全数把握,D_stat,0,0,13,0.0
オウム病,全数把握,D_growth,0,0,13,0.0
オウム病,全数把握,D_spatial,0,0,13,0.0
オウム病,全数把握,combined,2,2,13,0.154
オムスク出血熱,全数把握,D_rare,0,0,13,0.0
オムスク出血熱,全数把握,D_stat,0,0,13,0.0
オムスク出血熱,全数把握,D_growth,0,0,13,0.0
オムスク出血熱,全数把握,D_spatial,0,0,13,0.0
オムスク出血熱,全数把握,combined,0,0,13,0.0
キャサヌル森林病,全数把握,D_rare,0,0,13,0.0
キャサヌル森林病,全数把握,D_stat,0,0,13,0.0
キャサヌル森林病,全数把握,D_growth,0,0,13,0.0
キャサヌル森林病,全数把握,D_spatial,0,0,13,0.0
キャサヌル森林病,全数把握,combined,0,0,13,0.0
クラミジア肺炎,sentinel/その他,D_rare,0,0,13,0.0
クラミジア肺炎,sentinel/その他,D_stat,0,0,13,0.0
