outbreak,idwr_key,year,week,D_rare,D_stat,D_growth,D_spatial,combined
梅毒_2024,梅毒,2023,27,,medium,,medium,medium
梅毒_2024,梅毒,2023,28,,high,,medium,high
梅毒_2024,梅毒,2023,29,,medium,,medium,medium
梅毒_2024,梅毒,2023,30,,high,,high,high
梅毒_2024,梅毒,2023,31,,high,,high,high
梅毒_2024,梅毒,2023,32,,medium,,medium,medium
梅毒_2024,梅毒,2023,33,,high,,medium,high
梅毒_2024,梅毒,2023,34,,high,,high,high
梅毒_2024,梅毒,2023,35,,high,,medium,high
梅毒_2024,梅毒,2023,36,,high,,medium,high
梅毒_2024,梅毒,2023,37,,medium,,medium,medium
梅毒_2024,梅毒,2023,38,,medium,,medium,medium
梅毒_2024,梅毒,2023,39,,high,,high,high
梅毒_2024,梅毒,2023,40,,medium,,medium,medium
梅毒_2024,梅毒,2023,41,,medium,,medium,medium
梅毒_2024,梅毒,2023,42,,medium,,medium,medium
梅毒_2024,梅毒,2023,43,,medium,,medium,medium
梅毒_2024,梅毒,2023,44,,,,medium,medium
梅毒_2024,梅毒,2023,45,,medium,,medium,medium
梅毒_2024,梅毒,2023,46,,medium,,medium,medium
梅毒_2024,梅毒,2023,47,,,,medium,medium
梅毒_2024,梅毒,2023,48,,medium,,medium,medium
梅毒_2024,梅毒,2023,49,,high,,medium,high
梅毒_2024,梅毒,2023,50,,high,,medium,high
梅毒_2024,梅毒,2023,51,,high,,medium,high
梅毒_2024,梅毒,2023,52,,medium,,medium,medium
梅毒_2024,梅毒,2024,1,,,,,
梅毒_2024,梅毒,2024,2,,medium,,medium,medium
梅毒_2024,梅毒,2024,3,,high,,medium,high
梅毒_2024,梅毒,2024,4,,medium,,medium,medium
梅毒_2024,梅毒,2024,5,,medium,,medium,medium
梅毒_2024,梅毒,2024,6,,,,medium,medium
梅毒_2024,梅毒,2024,7,,,,medium,medium
梅毒_2024,梅毒,2024,8,,,,,
梅毒_2024,梅毒,2024,9,,medium,,medium,medium
梅毒_2024,梅毒,2024,10,,,,medium,medium
梅毒_2024,梅毒,2024,11,,medium,,medium,medium
梅毒_2024,梅毒,2024,12,,,,,
梅毒_2024,梅毒,2024,13,,,,,
梅毒_2024,梅毒,2024,14,,medium,,medium,medium
