outbreak,idwr_key,tier,category,detector,ref_year,ref_week,detected,first_alert_year,first_alert_week,severity,lead_weeks
梅毒_2024,梅毒,silver,acute_rare,D_rare,2024,1,False,,,,
梅毒_2024,梅毒,silver,acute_rare,D_stat,2024,1,True,2023,27,high,26
梅毒_2024,梅毒,silver,acute_rare,D_growth,2024,1,False,,,,
梅毒_2024,梅毒,silver,acute_rare,D_spatial,2024,1,True,2023,27,medium,26
梅毒_2024,梅毒,silver,acute_rare,combined,2024,1,True,2023,27,high,26
麻しん_2026,麻しん,b,acute_rare,D_rare,2026,5,True,2025,31,high,26
麻しん_2026,麻しん,b,acute_rare,D_stat,2026,5,False,,,,
麻しん_2026,麻しん,b,acute_rare,D_growth,2026,5,False,,,,
麻しん_2026,麻しん,b,acute_rare,D_spatial,2026,5,True,2026,4,high,1
麻しん_2026,麻しん,b,acute_rare,combined,2026,5,True,2025,31,high,26
風疹_2018,風しん,c,acute_rare,D_rare,2018,30,True,2018,14,high,16
風疹_2018,風しん,c,acute_rare,D_stat,2018,30,False,,,,
風疹_2018,風しん,c,acute_rare,D_growth,2018,30,True,2018,32,high,-2
風疹_2018,風しん,c,acute_rare,D_spatial,2018,30,True,2018,32,medium,-2
風疹_2018,風しん,c,acute_rare,combined,2018,30,True,2018,14,high,16
RSV_2024,RSウイルス感染症,c,sentinel,D_rare,2024,13,False,,,,
RSV_2024,RSウイルス感染症,c,sentinel,D_stat,2024,13,False,,,,
RSV_2024,RSウイルス感染症,c,sentinel,D_growth,2024,13,False,,,,
RSV_2024,RSウイルス感染症,c,sentinel,D_spatial,2024,13,True,2024,15,medium,-2
RSV_2024,RSウイルス感染症,c,sentinel,combined,2024,13,True,2024,15,high,-2
HFMD_2018,手足口病,c,sentinel,D_rare,2018,29,False,,,,
HFMD_2018,手足口病,c,sentinel,D_stat,2018,29,False,,,,
HFMD_2018,手足口病,c,sentinel,D_growth,2018,29,True,2018,20,medium,9
HFMD_2018,手足口病,c,sentinel,D_spatial,2018,29,False,,,,
HFMD_2018,手足口病,c,sentinel,combined,2018,29,True,2018,20,medium,9
Influenza_2022,インフルエンザ,c,sentinel,D_rare,2022,51,False,,,,
Influenza_2022,インフルエンザ,c,sentinel,D_stat,2022,51,False,,,,
Influenza_2022,インフルエンザ,c,sentinel,D_growth,2022,51,True,2022,50,medium,1
Influenza_2022,インフルエンザ,c,sentinel,D_spatial,2022,51,True,2023,15,high,-16
Influenza_2022,インフルエンザ,c,sentinel,combined,2022,51,True,2022,50,medium,1
