disease,class,detector,sustained_alerts_outside_window,n_years_covered,alerts_per_year
A群溶血性レンサ球菌咽頭炎,sentinel,D_rare,0,13,0.0
A群溶血性レンサ球菌咽頭炎,sentinel,D_stat,9,13,0.692
A群溶血性レンサ球菌咽頭炎,sentinel,D_growth,0,13,0.0
A群溶血性レンサ球菌咽頭炎,sentinel,D_spatial,13,13,1.0
感染性胃腸炎,sentinel,D_rare,0,13,0.0
感染性胃腸炎,sentinel,D_stat,5,13,0.385
感染性胃腸炎,sentinel,D_growth,1,13,0.077
感染性胃腸炎,sentinel,D_spatial,7,13,0.538
RSウイルス感染症,sentinel,D_rare,0,13,0.0
RSウイルス感染症,sentinel,D_stat,16,13,1.231
RSウイルス感染症,sentinel,D_growth,6,13,0.462
RSウイルス感染症,sentinel,D_spatial,12,13,0.923
咽頭結膜熱,sentinel,D_rare,0,13,0.0
咽頭結膜熱,sentinel,D_stat,5,13,0.385
咽頭結膜熱,sentinel,D_growth,0,13,0.0
咽頭結膜熱,sentinel,D_spatial,4,13,0.308
風しん,full-report,D_rare,10,13,0.769
風しん,full-report,D_stat,2,13,0.154
風しん,full-report,D_growth,1,13,0.077
風しん,full-report,D_spatial,0,13,0.0
梅毒,full-report,D_rare,0,13,0.0
梅毒,full-report,D_stat,24,13,1.846
梅毒,full-report,D_growth,0,13,0.0
梅毒,full-report,D_spatial,25,13,1.923
手足口病,sentinel,D_rare,0,13,0.0
手足口病,sentinel,D_stat,6,13,0.462
手足口病,sentinel,D_growth,5,13,0.385
手足口病,sentinel,D_spatial,5,13,0.385
インフルエンザ,sentinel,D_rare,0,13,0.0
インフルエンザ,sentinel,D_stat,10,13,0.769
インフルエンザ,sentinel,D_growth,12,13,0.923
インフルエンザ,sentinel,D_spatial,10,13,0.769
麻しん,full-report,D_rare,14,13,1.077
麻しん,full-report,D_stat,7,13,0.538
麻しん,full-report,D_growth,1,13,0.077
麻しん,full-report,D_spatial,5,13,0.385
流行性耳下腺炎,sentinel,D_rare,0,13,0.0
流行性耳下腺炎,sentinel,D_stat,1,13,0.077
流行性耳下腺炎,sentinel,D_growth,0,13,0.0
流行性耳下腺炎,sentinel,D_spatial,2,13,0.154
マイコプラズマ肺炎,sentinel,D_rare,0,13,0.0
マイコプラズマ肺炎,sentinel,D_stat,3,13,0.231
マイコプラズマ肺炎,sentinel,D_growth,0,13,0.0
マイコプラズマ肺炎,sentinel,D_spatial,4,13,0.308
