prefecture,did_pop,total_pop,did_pop_pct,did_area_km2,did_area_pct,urban_tier_did,did_quartile,metro_area_class
北海道,3906400,5140000,76.0,,,high_urban,1,regional
青森県,568800,1200000,47.4,,,mixed,3,regional
岩手県,390580,1180000,33.1,,,rural_leaning,4,regional
宮城県,1495680,2280000,65.6,,,mixed,2,regional
秋田県,330150,930000,35.5,,,rural_leaning,4,regional
山形県,479440,1040000,46.1,,,mixed,3,regional
福島県,755380,1790000,42.2,,,mixed,3,regional
茨城県,1158720,2840000,40.8,,,mixed,3,regional
栃木県,918710,1910000,48.1,,,mixed,2,regional
群馬県,796470,1910000,41.7,,,mixed,3,regional
埼玉県,5996780,7340000,81.7,,,high_urban,1,major_metro
千葉県,4815360,6270000,76.8,,,high_urban,1,major_metro
東京都,13843440,14040000,98.6,,,high_urban,1,major_metro
神奈川県,8740810,9230000,94.7,,,high_urban,1,major_metro
新潟県,1092200,2150000,50.8,,,mixed,2,regional
富山県,408000,1020000,40.0,,,mixed,4,regional
石川県,603680,1120000,53.9,,,mixed,2,regional
福井県,347250,750000,46.3,,,mixed,3,regional
山梨県,252000,800000,31.5,,,rural_leaning,4,regional
長野県,711040,2020000,35.2,,,rural_leaning,4,regional
岐阜県,795600,1950000,40.8,,,mixed,3,major_metro
静岡県,2205280,3580000,61.6,,,mixed,2,regional
愛知県,5910000,7500000,78.8,,,high_urban,1,major_metro
三重県,760380,1740000,43.7,,,mixed,3,major_metro
滋賀県,751530,1410000,53.3,,,mixed,2,regional
京都府,2152200,2550000,84.4,,,high_urban,1,major_metro
大阪府,8420020,8780000,95.9,,,high_urban,1,major_metro
兵庫県,4255200,5400000,78.8,,,high_urban,1,major_metro
奈良県,877700,1310000,67.0,,,mixed,1,major_metro
和歌山県,339300,900000,37.7,,,rural_leaning,4,regional
鳥取県,205740,540000,38.1,,,rural_leaning,4,regional
島根県,168960,660000,25.6,,,rural_leaning,4,regional
岡山県,903960,1860000,48.6,,,mixed,2,regional
広島県,1805040,2760000,65.4,,,mixed,2,regional
山口県,666790,1310000,50.9,,,mixed,2,regional
徳島県,235200,700000,33.6,,,rural_leaning,4,regional
香川県,307830,930000,33.1,,,rural_leaning,4,regional
愛媛県,707400,1310000,54.0,,,mixed,2,regional
高知県,301240,680000,44.3,,,mixed,3,regional
福岡県,3773440,5120000,73.7,,,high_urban,1,regional
佐賀県,279200,800000,34.9,,,rural_leaning,4,regional
長崎県,615680,1280000,48.1,,,mixed,3,regional
熊本県,856560,1720000,49.8,,,mixed,2,regional
大分県,540570,1110000,48.7,,,mixed,2,regional
宮崎県,499800,1050000,47.6,,,mixed,3,regional
鹿児島県,648960,1560000,41.6,,,mixed,3,regional
沖縄県,1024590,1470000,69.7,,,mixed,1,regional
